"","names","total"
"312","you know that",1110
"313","of all the",1108
"314","that i had",1108
"315","want to do",1108
"316","more than a",1102
"317","on my way",1101
"318","of the time",1100
"319","i just want",1099
"320","the only thing",1099
"321","i cant believe",1097
"322","that i can",1097
"323","thank you to",1094
"324","i would be",1091
"325","in a few",1087
"326","a great weekend",1086
"327","and i think",1084
"328","a good day",1083
"329","have to say",1083
"330","for you to",1082
"331","went to the",1079
"332","the name of",1078
"333","has to be",1075
"334","hope to see",1073
"335","did you know",1068
"336","will be the",1065
"337","thought it was",1062
"338","no matter what",1061
"339","if you can",1060
"340","to get my",1060
"341","i didnt know",1056
"342","the way to",1054
"343","some of my",1052
"344","have to go",1050
"345","get out of",1048
"346","i was just",1043
"347","no matter how",1043
"348","to talk about",1043
"349","dont forget to",1042
"350","the idea of",1039
"351","away from the",1035
"352","i get to",1034
"353","i love that",1032
"354","you can do",1029
"355","come up with",1026
"356","that was a",1026
"357","used to be",1026
"358","that is the",1025
"359","as far as",1024
"360","and in the",1023
"361","every time i",1023
"362","i have the",1022
"363","the time to",1020
"364","up with a",1017
"365","to do a",1016
"366","a few weeks",1013
"367","is not the",1013
"368","i can do",1011
"369","make sure you",1011
"370","shout out to",1011
"371","by the time",1010
"372","to meet you",1009
"373","was in the",1009
"374","there was no",1008
"375","i did not",1007
"376","at the moment",1002
"377","i wonder if",1001
"378","dont have a",994
"379","in new york",991
"380","happy birthday to",990
"381","the beginning of",990
"382","and if you",988
"383","this is what",988
"384","a piece of",987
"385","in the future",986
"386","i like the",985
"387","up on the",982
"388","it was so",981
"389","going to get",978
"390","dont know how",977
"391","i was so",976
"392","that they are",973
"393","take care of",971
"394","a little more",969
"395","is on the",967
"396","to look at",966
"397","that you can",964
"398","out in the",963
"399","to be on",962
"400","is the only",961
"401","it can be",961
"402","happy new year",960
"403","the bottom of",959
"404","i dont even",958
"405","with all the",956
"406","that you are",951
"407","to do the",948
"408","is that the",947
"409","to check out",947
"410","is the most",945
"411","of the week",945
"412","to deal with",945
"413","all of you",943
"414","that there is",941
"415","i think im",939
"416","i can get",937
"417","in terms of",937
"418","what is the",936
"419","the other day",935
"420","the number of",934
"421","time to get",933
"422","feel free to",932
"423","to all of",932
"424","if i had",931
"425","there are a",931
"426","what kind of",931
"427","in the next",929
"428","are you going",926
"429","many of the",925
"430","when i get",925
"431","is such a",924
"432","the opportunity to",924
"433","we want to",924
"434","i get a",922
